,Unnamed: 0.1,Unnamed: 0,symbol,name,curr_market_price,pe_ratio,book_value,divident,roce,roe,face_value,market_cap,about
798,798,798,KIRIINDUS,Kiri Industries Ltd,357.0,8.66,542.0,0.0,5.96,4.84,10.0,1851.0,"Kiri Industries Limited (KIL) is engaged in the business of manufacturing and exporting a wide range of Dyes, Dye Intermediates, and Basic Chemicals from India. "
799,799,799,KIRLOSBROS,Kirloskar Brothers Ltd,1676.0,38.3,216.0,0.36,27.3,21.7,2.0,13338.0,"Kirloskar Brothers is a part of the Kirloskar Group engaged in the business of engineering and manufacturing of systems for fluid management. The core businesses include large infrastructure projects (Water Supply, Power Plants, and Irrigation), Pumps, Valves, Motors and Hydro turbines. "
800,800,800,KIRLOSENG,Kirloskar Oil Engines Ltd,1246.0,38.1,185.0,0.48,15.0,17.7,2.0,18136.0,"KOEL, one of the flagship companies of the Kirloskar group, manufactures and services diesel engines and diesel generator sets. The company also makes diesel, petrol and kerosene-based pump sets. It has manufacturing units in Pune, Kagal, and Nashik. The company caters to the agriculture, power generation, and industrial sectors."
801,801,801,KIRLOSIND,Kirloskar Industries Ltd,5449.0,26.8,5003.0,0.24,10.7,5.41,10.0,5433.0,"Kirloskar Ind is engaged in the business of Iron castings,  Investments (Securities and Properties), Wind power generation and real estate."
802,802,802,KITEX,Kitex Garments Limited,,,,,,,,,
803,803,803,KKCL,Kewal Kiran Clothing Ltd,670.0,28.3,110.0,0.3,31.0,25.1,10.0,4130.0,"Kewal Kiran Clothing Limited was incorporated in 1992. The Company is engaged in manufacturing, marketing and retailing of branded readymade garments and finished accessories. The company has consumers in Asia, Middle East and CIS (Commonwealth of Independent States). Its registered office is in Mumbai. "
804,804,804,KMSUGAR,KM Sugar Mills Ltd,40.0,16.1,33.0,0.0,9.96,9.95,2.0,370.0,"Incorporated in 1971, KM Sugar Mills Ltd manufactures and trades sugar, ethanol, ethyl alcohol, and generation of power using bagasse"
805,805,805,KNRCON,KNR Constructions Ltd,316.0,11.3,126.0,0.08,25.8,23.7,2.0,8887.0,"KNR Constructions Ltd, incorporated in 1995, is a Hyderabad-based infrastructure project development company providing EPC services in segments such as roads and highways, irrigation and urban water infrastructure management. "
806,806,806,KOHINOOR,Kohinoor Foods Ltd,45.1,,-141.0,0.0,4.92,,10.0,167.0,"Incorporated in 1989, Kohinoor Foods Ltd does milling, processing and selling "
807,807,807,KOKUYOCMLN,Kokuyo Camlin Ltd,221.0,146.0,24.8,0.23,8.56,6.22,1.0,2216.0,"Incorporated in 1946 as “Camlin Private Limited”, the Company and Japanese technology brand Kokuyo came together in 2011 to become Kokuyo Camlin Limited. The company is engaged in the manufacture and trade in scholastic products, writing instruments, notebooks and other stationery products. "
808,808,808,KOLTEPATIL,Kolte - Patil Developers Limited,,,,,,,,,
809,809,809,KOPRAN,Kopran Ltd,323.0,26.3,102.0,0.93,13.8,11.0,10.0,1557.0,Kopran Ltd. is a fully integrated pharmaceutical company that manufactures and supplies high-quality formulations and active pharmaceutical ingredients globally.
810,810,810,KOTAKBANK,Kotak Mahindra Bank Ltd,1904.0,20.3,654.0,0.11,7.86,15.1,5.0,378526.0,"Kotak Mahindra Bank is a diversified financial services group providing a wide range of banking and financial services including Retail Banking, Treasury and Corporate Banking, Investment Banking, Stock Broking, Vehicle Finance, Advisory services, Asset Management, Life Insurance and General Insurance."
811,811,811,KOTARISUG,Kothari Sugars & Chemicals Ltd,54.7,60.6,16.8,0.91,7.65,5.27,10.0,454.0,"Incorporated in 1961,Kothari Sugars and Chemicals Limited (KSCL) are the Manufacturers of Sugar, Alcohol and Powerhaving units at Kattur and Sathamangalam, Tamilnadu. "
812,812,812,KOTHARIPET,Kothari Petrochemicals Limited,,,,,,,,,
813,813,813,KOTHARIPRO,Kothari Products Ltd,166.0,19.0,401.0,0.0,2.42,2.21,10.0,495.0,"Incorporated in 1983, Kothari Products Ltd is in the business of Real Estate and International Trade"
814,814,814,KPITTECH,KPIT Technologies Ltd,1662.0,68.7,78.3,0.4,38.4,31.2,10.0,45511.0,"KPIT is a global technology company with software solutions that will help mobility leapfrog towards autonomous, clean, smart and connected future. With 10000+ Automobelievers across the globe,  specializing in embedded software, AI & Digital solutions, KPIT enables customers accelerate implementation of next generation mobility technologies . With development centers in Europe, USA, Japan, China, Thailand and India "
815,815,815,KPRMILL,K P R Mill Ltd,961.0,40.7,128.0,0.52,20.6,19.5,1.0,32785.0,"K.P.R. Mill is engaged in one of the largest vertically integrated apparel manufacturing Companies in India. The Company produces Yarn, Knitted Fabric, Readymade Garments and Wind power."
816,816,816,KRBL,KRBLLimited,,,,,,,,,
817,817,817,KREBSBIO,Krebs Biochemicals & Industries Ltd,,,,,,,,,"Incorporated in 1991, Krebs Biochemicals & Industries Ltd is presently engaged in manufacturing of active pharmaceutical ingredients."
818,818,818,KRIDHANINF,Kridhan Infra Ltd,4.7,,-37.5,0.0,,,2.0,44.2,"Incorporated in 2006, Kridhan Infra Ltd does trading of iron and steel and allied materials"
819,819,819,KRISHANA,Krishana Phoschem Ltd,,,,,,,,,"Krishna Phoschem Limited, incorporated in 2004, is engaged in the manufacturing of fertiliser and chemicals. The company was acquired by the Ostwal Group in 2007. "
820,820,820,KSB,Ksb Limited,,,,,,,,,
821,821,821,KSCL,Kaveri Seed Company Ltd,1068.0,17.6,240.0,0.47,21.8,20.3,2.0,5513.0,"Kaveri Seed Company is engaged into research, production, processing and marketing of various high quality hybrid seeds."
822,822,822,KSERASERA,KSS Ltd,0.15,,,0.0,,,1.0,32.0,"KSS in a global player within the Indian media and entertainment. The Company through its subsidiaries and step- down subsidiaries is into the business of Miniplexes, Digital Cinema and Online Trading in Gold & Jewellery, Project Consultancy and General T"
823,823,823,KSK,KSK Energy Ventures Ltd,0.55,0.31,-53.1,0.0,1.57,-17.1,10.0,23.3,"KSK Energy Ventures is engaged in the development, ownership, operation and maintenance of power generation assets in India."
824,824,824,KSL,Kalyani Steels Ltd,852.0,15.0,385.0,1.17,,,5.0,3718.0,"Kalyani Steels Ltd, a part of Kalyani Group, is primarily engaged in the business of manufacture and sale of Iron and Steel Products. "
825,825,825,KTIL,Kesar Terminals & Infrastructure Ltd,96.2,,-88.3,0.0,-23.0,,5.0,105.0,"Incorporated in 2008, Kesar Terminals & Infrastructure Ltd does renting of liquid "
826,826,826,KTKBANK,Karnataka Bank Ltd,234.0,6.6,288.0,2.36,6.24,13.7,10.0,8825.0,"Karnataka Bank is engaged in providing a wide range of banking & financial services involving retail, corporate banking and para-banking activities in addition to treasury and foreign exchange business."
827,827,827,KUANTUM,Kuantum Papers Limited,,,,,,,,,
828,828,828,KWALITY,Kwality Ltd,2.2,,-145.0,0.0,,,1.0,53.1,Kwality Ltd. (Kwality) was incorporated in 1992 as Kwality Dairy (India) Ltd. The company was set up as a backward integration unit of Kwality Ice Creams India Ltd and was acquired by Dhingra Family in 2002. It has a large presence in Northern India. 
829,829,829,L&TFH,L&T Finance Holdings Limited,,,,,,,,,
830,830,830,LAKPRE,Lakshmi Precision Screws Limited,,,,,,,,,
831,831,831,LAKSHVILAS,Lakshmi Vilas Bank Ltd(Merged),,,,,,,,,Lakshmi Vilas Bank is engaged in the business of Banking.
832,832,832,LALPATHLAB,Dr Lal Pathlabs Ltd,3292.0,72.1,222.0,0.73,25.2,20.4,10.0,27522.0,"Dr. Lal PathLabs Limited is one of India’s leading consumer healthcare brand in diagnostic services. It has an integrated nationwide network, where patients and healthcare providers are offered a broad range of diagnostic and related healthcare tests and services for use in: core testing, patient diagnosis and the prevention, monitoring and treatment of disease and other health conditions. The services of DLPL are aimed at individual patients, hospitals and other healthcare providers and corporates. "
833,833,833,LAMBODHARA,Lambodhara Textiles Ltd,,,,,,,,,"Incorporated in 1994, Lambodhara Textiles Ltd does manufacturing of premium quality synthetic fancy yarns"
834,834,834,LAOPALA,La Opala RG Limited,,,,,,,,,
835,835,835,LASA,Lasa Supergenerics Ltd,,,,,,,,,"Incorporated in 2016, Lasa Supergenerics Ltd is in the business of manufacturing, trading, producing, processing, preparing, treating chemicals, API, Pharmaceuticals, drugs, etc."
836,836,836,LAURUSLABS,Laurus Labs Ltd,467.0,171.0,76.3,0.17,6.6,3.97,2.0,25208.0,"Founded in 2005, Laurus Labs is a research-driven pharmaceutical and biotechnology company having a global leadership"
837,837,837,LAXMIMACH,Lakshmi Machine Works Ltd,15601.0,57.3,2531.0,0.48,18.1,14.0,10.0,16665.0,"Lakshmi Machine Works Ltd is a leading Textile Machinery Manufacturer in India engaged in the manufacturing and selling of textile spinning machinery, CNC Machine Tools, Heavy castings, and parts and components catering to diverse sectors."
838,838,838,LEMONTREE,Lemon Tree Hotels Limited,,,,,,,,,
839,839,839,LFIC,Lakshmi Finance & Industrial Corporation Ltd,,,,,,,,,"Incorporated in 1980, Lakshmi Finance & Industrial Corporation (formerly known as The Andhra Bank Ltd) Ltd is an investment company registered with RBI, engaged in the business of investment in equity shares and mutual funds."
840,840,840,LGBBROSLTD,L G Balakrishnan & Bros Ltd,1358.0,15.9,518.0,1.33,22.8,17.8,10.0,4263.0,"L.G. Balakrishnan & Bros Ltd is a major manufacturer of chains, sprockets and metal formed parts for automotive applications. Its business segments include transmission, metal forming and others."
841,841,841,LGBFORGE,LGB Forge Ltd,,,,,,,,,"Incorporated in 2006, LGB Forge Ltd manufactures Forged and Machined Components"
842,842,842,LIBAS,Libas Designs Limited,,,,,,,,,
843,843,843,LIBERTSHOE,Liberty Shoes Ltd,488.0,123.0,95.2,0.51,8.81,4.23,10.0,828.0,"Incorporated in 1954, Liberty Shoes manufactures and trades footwear, accessories and lifestyle products through its retail, ecommerce and  wholesale network"
844,844,844,LICHSGFIN,LIC Housing Finance Ltd,668.0,7.74,572.0,1.35,8.79,16.2,2.0,36733.0,LIC Housing Finance Limited is a housing finance company registered with National Housing Bank (NHB) and is mainly engaged in financing purchase / construction of residential
845,845,845,LINCOLN,Lincoln Pharmaceuticals Ltd,729.0,14.9,296.0,0.25,22.5,17.0,10.0,1459.0,"Lincoln Pharmaceuticals Limited (LPL) is engaged in the business of manufacturing, marketing and distribution of pharmaceutical products. "
846,846,846,LINCPEN,Linc Pen & Plastics Limited,,,,,,,,,
847,847,847,LINDEINDIA,Linde India Ltd,8170.0,156.0,407.0,0.05,17.4,13.0,10.0,69693.0,"Linde India Limited, a subsidiary of BOC Group,UK (owns 75% stake in the co), is primarily engaged in manufacture of industrial and medical gases and construction of cryogenic and non cryogenic air separation plants."
